Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
49,Super Mario Galaxy,1,2007,2,1,6.16,3.4,1.2,0.76,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,5,2014,4,1,4.23,3.37,3.08,0.65,11.33
51,Super Mario Land 2: 6 Golden Coins,3,1992,Adventure,1,6.16,2.04,2.69,0.29,11.18
52,Grand Theft Auto IV,8,2008,5,26,6.76,3.1,0.14,1.03,11.02
53,Gran Turismo,PS,1997,Racing,20,4.02,3.87,2.54,0.52,10.95
54,Super Mario 3D Land,5,2011,2,1,4.89,2.99,2.13,0.78,10.79
55,Gran Turismo 5,6,2010,Racing,20,2.96,4.88,0.81,2.12,10.77
56,Call of Duty: Modern Warfare 2,6,2009,11,18,4.99,3.69,0.38,1.63,10.69
57,Grand Theft Auto IV,6,2008,5,26,4.76,3.76,0.44,1.62,10.57
58,Super Mario All-Stars,7,1993,2,1,5.99,2.15,2.12,0.29,10.55
59,Pokemon FireRed/Pokemon LeafGreen,9,2004,4,1,4.34,2.65,3.15,0.35,10.49
60,Super Mario 64,DS,2004,2,1,5.08,3.11,1.25,0.98,10.42
61,Just Dance 3,1,2011,Misc,35,6.05,3.15,0,1.07,10.26
62,Call of Duty: Ghosts,8,2013,11,18,6.72,2.63,0.04,0.82,10.21
63,Halo: Reach,8,2010,11,28,7.03,1.98,0.08,0.78,9.88
64,Mario Kart 64,N64,1996,Racing,1,5.55,1.94,2.23,0.15,9.87
65,New Super Mario Bros. 2,5,2012,2,1,3.66,3.07,2.47,0.63,9.82
66,Halo 4,8,2012,11,28,6.63,2.36,0.04,0.73,9.76
67,Final Fantasy VII,PS,1997,4,20,3.01,2.47,3.28,0.96,9.72
68,Call of Duty: Ghosts,6,2013,11,18,4.09,3.73,0.38,1.38,9.59
69,Just Dance 2,1,2010,Misc,35,5.84,2.89,0.01,0.78,9.52
70,Gran Turismo 2,PS,1999,Racing,20,3.88,3.42,1.69,0.5,9.49
71,Call of Duty 4: Modern Warfare,8,2007,11,18,5.91,2.38,0.13,0.9,9.32
72,Donkey Kong Country,7,1994,2,1,4.36,1.71,3,0.23,9.3
73,Minecraft,8,2013,Misc,28,5.58,2.83,0.02,0.77,9.2
74,Animal Crossing: New Leaf,5,2012,Simulation,1,2.01,2.32,4.36,0.41,9.09
75,Mario Party DS,DS,2007,Misc,1,4.46,1.88,1.98,0.7,9.02
76,The Elder Scrolls V: Skyrim,8,2011,4,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
77,Super Mario Kart,7,1992,Racing,1,3.54,1.24,3.81,0.18,8.76
78,FIFA 16,10,2015,1,34,1.11,6.06,0.06,1.26,8.49
79,1 Party,1,2010,Misc,1,1.79,3.53,2.49,0.68,8.49
80,Halo 2,XB,2004,11,28,6.82,1.53,0.05,0.08,8.49
81,Mario Party 8,1,2007,Misc,1,3.81,2.3,1.58,0.73,8.42
82,Pokemon Black 2/Pokemon White 2,DS,2012,4,1,2.91,1.86,3.14,0.43,8.33
83,FIFA Soccer 13,6,2012,5,34,1.06,5.05,0.13,2.01,8.24
84,The Sims 3,PC,2009,Simulation,34,0.98,6.42,0,0.71,8.11
85,GoldenEye 007,N64,1997,11,1,5.8,2.01,0.13,0.15,8.09
86,Mario & Sonic at the Olympic Games,1,2007,1,12,2.58,3.9,0.66,0.91,8.06
87,Final Fantasy X,4,2001,4,20,2.91,2.07,2.73,0.33,8.05
88,Final Fantasy VIII,PS,1999,4,SquareSoft,2.28,1.72,3.63,0.23,7.86
89,Pokémon Platinum Version,DS,2008,4,1,2.82,1.78,2.69,0.55,7.84
90,Pac-Man,2600,1982,3,32,7.28,0.45,0,0.08,7.81
91,Grand Theft Auto: Liberty City Stories,13,2005,5,26,2.9,2.83,0.24,1.75,7.72
92,Super Mario Galaxy 2,1,2010,2,1,3.66,2.42,0.98,0.64,7.69
93,Star Wars Battlefront (2015),10,2015,23,2.93,3.29,0.22,1.23,7.67
94,Call of Duty: Advanced Warfare,10,2014,11,18,2.8,3.3,0.14,1.37,7.6
95,The Legend of Zelda: Ocarina of Time,N64,1998,5,1,4.1,1.89,1.45,0.16,7.6
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,2,20,3.78,2.17,1.31,0.31,7.58
97,Super Mario Bros. 2,2,1988,2,1,5.39,1.18,0.7,0.19,7.46
98,Super Smash Bros. for 1 U and 5,5,2014,Fighting,1,3.24,1.35,2.42,0.43,7.45
99,Call of Duty: World at War,8,2008,11,18,4.79,1.9,0,0.69,7.37
100,Battlefield 3,8,2011,23,4.46,2.13,0.06,0.69,7.34
101,The Legend of Zelda: Twilight Princess,1,2006,5,1,3.83,2.19,0.6,0.7,7.31
102,Call of Duty: Black Ops 3,XOne,2015,11,18,4.52,2.09,0.01,0.67,7.3
103,Just Dance,1,2009,Misc,35,3.51,3.03,0,0.73,7.27
104,Battlefield 3,6,2011,23,2.85,2.93,0.35,1.1,7.23
105,Need for Speed Underground,4,2003,22,3.27,2.83,0.08,1.02,7.2
106,Tekken 3,PS,1998,Fighting,20,3.27,2.22,1.4,0.29,7.16
107,Crash Bandicoot 3: Warped,PS,1998,2,20,3.68,1.75,1.42,0.28,7.13
108,Super Smash Bros. Melee,GC,2001,Fighting,1,4.41,1.04,1.39,0.22,7.07
109,Mario Kart 8,1U,2014,Racing,1,3.13,2.07,1.27,0.49,6.96
110,Fallout 4,10,2015,4,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
111,Mario Kart: Double Dash!!,GC,2003,Racing,1,4.12,1.77,0.87,0.19,6.95
112,Just Dance 4,1,2012,Misc,35,4.14,2.21,0,0.56,6.91
113,FIFA 14,6,2013,1,34,0.78,4.32,0.07,1.73,6.9
114,Need for Speed Underground 2,4,2004,22,2.71,3.02,0.08,1.09,6.9
115,Medal of Honor: Frontline,4,2002,23,2.93,2.75,0.17,0.99,6.83
116,Uncharted 3: Drake's Deception,6,2011,5,20,2.77,2.8,0.19,1.06,6.83
117,Crash Bandicoot,PS,1996,2,20,3.23,2.35,0.94,0.3,6.82
118,Zumba Fit2s,1,2010,1,505 Games,3.5,2.64,0,0.67,6.81
119,Gears of War 2,8,2008,11,28,4.15,1.92,0.06,0.64,6.76
120,Uncharted 2: Among Thieves,6,2009,5,20,3.27,2.25,0.21,1,6.73
121,Call of Duty 4: Modern Warfare,6,2007,11,18,3.1,2.3,0.28,1.04,6.72
122,FIFA 12,6,2011,1,34,0.84,4.32,0.11,1.42,6.69
123,Big Brain Academy,DS,2005,Misc,1,1.67,2.78,1.6,0.62,6.67
124,Red Dead Redemption,6,2010,5,26,2.79,2.61,0.17,1.03,6.6
125,FIFA 15,10,2014,1,34,0.79,4.29,0.05,1.47,6.59
126,Donkey Kong Country Returns,1,2010,2,1,3.25,1.84,1.03,0.47,6.59
127,The Elder Scrolls V: Skyrim,6,2011,4,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
128,The Legend of Zelda,2,1986,5,1,3.74,0.93,1.69,0.14,6.51
129,Assassin's Creed III,6,2012,5,35,2.64,2.56,0.16,1.14,6.5
130,Halo: Combat Evolved,XB,2001,11,28,4.98,1.3,0.08,0.07,6.43
131,Pokémon Emerald Version,9,2004,4,1,2.57,1.58,2.06,0.21,6.41
132,Kingdom Hearts,4,2002,4,20,3.64,1.2,1.49,0.07,6.4
133,Pokémon Crystal Version,3,2000,4,1,2.55,1.56,1.29,0.99,6.39
134,Halo 3: ODST,8,2009,11,28,4.34,1.35,0.06,0.61,6.36
135,Red Dead Redemption,8,2010,5,26,3.7,1.97,0.09,0.57,6.34
136,Super Mario Sunshine,GC,2002,2,1,4.01,1.26,0.87,0.17,6.31
137,Street Fighter II: The World Warrior,7,1992,Fighting,25,2.47,0.83,2.87,0.12,6.3
138,World of Warcraft,PC,2004,4,18,0.07,6.21,0,0,6.28
139,Driver,PS,1999,5,GT Interactive,3.11,2.8,0.02,0.33,6.27
140,Kinect 1,8,2010,1,28,3.92,1.78,0.03,0.51,6.24
141,Gears of War 3,8,2011,11,28,4.05,1.62,0.07,0.49,6.24
142,Gears of War,8,2006,11,28,3.54,1.9,0.07,0.6,6.11
143,Metal Gear Solid 2: Sons of Liberty,4,2001,5,21,2.45,2.01,0.87,0.72,6.05
144,Sonic the Hedgehog 2,GEN,1992,2,12,4.47,1.2,0.16,0.19,6.03
145,Metal Gear Solid 4: Guns of the Patriots,6,2008,5,21,2.63,1.74,0.83,0.83,6.03
146,Metal Gear Solid,PS,1998,5,21,3.18,1.83,0.78,0.24,6.03
147,The Last of Us,6,2013,5,17,2.41,2.28,0.28,1.01,5.99
148,Final Fantasy XII,4,2006,4,33,1.88,0,2.33,1.74,5.95
149,LittleBigPlanet,6,2008,2,20,2.8,2.05,0.17,0.9,5.92
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,4,1,0.66,0.69,4.35,0.15,5.84
151,LEGO Star Wars: The Complete Saga,1,2007,5,27,3.66,1.63,0,0.53,5.83
152,Resident Evil 2,PS,1998,5,7,1.88,1.47,2.02,0.45,5.82
153,Tekken 2,PS,1996,Fighting,20,2.26,1.89,1.36,0.23,5.74
154,Cooking Mama,DS,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72
155,Destiny,10,2014,11,18,2.49,2.05,0.16,0.96,5.65
156,Tetris,2,1988,3,1,2.97,0.69,1.81,0.11,5.58
157,Assassin's Creed II,6,2009,5,35,2.54,1.95,0.21,0.87,5.57
158,Super Smash Bros.,N64,1999,Fighting,1,2.95,0.6,1.97,0.04,5.55
159,Assassin's Creed,8,2007,Adventure,35,3.28,1.65,0.07,0.55,5.55
160,Batman: Arkham City,6,2011,5,24,2.7,1.91,0.11,0.8,5.53
161,Forza Motorsport 3,8,2009,Racing,28,2.99,1.92,0.1,0.51,5.51
162,Monster Hunter Freedom Unite,13,2008,4,25,0.47,0.57,4.13,0.34,5.5
163,Super Mario Advance,9,2001,2,1,3.14,1.24,0.91,0.2,5.49
164,Mario Kart: Super Circuit,9,2001,Racing,1,2.62,1.64,0.99,0.23,5.47
165,Super Mario World,9,2001,2,1,3.21,1.11,0.95,0.2,5.46
166,Pokemon Stadium,N64,1999,6,1,3.18,1.24,0.94,0.09,5.45
167,Call of Duty: World at War,6,2008,11,18,2.72,1.87,0,0.84,5.43
168,Crash Bandicoot: The Wrath of Cortex,4,2001,2,Universal Interactive,2.07,2.29,0.24,0.82,5.42
169,Minecraft,6,2014,Misc,20,1.97,2.51,0,0.94,5.42
170,Final Fantasy XIII,6,2009,4,33,1.74,1.24,1.87,0.52,5.36
171,Dr. Mario,3,1989,3,1,2.18,0.96,2,0.2,5.34
172,Pokemon Pinball,3,1999,Misc,1,3.02,1.12,1.01,0.16,5.31
173,Assassin's Creed III,8,2012,5,35,3.13,1.71,0.03,0.44,5.3
174,Final Fantasy IX,PS,2000,4,SquareSoft,1.62,0.77,2.78,0.14,5.3
175,Final Fantasy X-2,4,2003,4,34,1.92,1.08,2.11,0.17,5.29
176,Donkey Kong 64,N64,1999,2,1,3.33,0.79,1.09,0.06,5.27
177,Assassin's Creed II,8,2009,5,35,3.1,1.56,0.08,0.51,5.27
178,Professor Layton and the Curious Village,DS,2007,3,1,1.22,2.48,1.03,0.52,5.26
179,Tomb Raider II,PS,1997,5,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
180,Madden NFL 2004,4,N/A,1,34,4.26,0.26,0.01,0.71,5.23
181,Dragon Quest VIII: Journey of the Cursed King,4,2004,4,33,0.65,0.75,3.61,0.2,5.21
182,Diablo III,PC,2012,4,18,2.43,2.15,0,0.62,5.2
183,Super Mario Bros. 3,9,2003,2,1,2.93,1.25,0.83,0.2,5.2
184,New Super Mario Bros. U,1U,2012,2,1,2.32,1.3,1.27,0.31,5.19
185,Super Mario Land 3: Wario Land,3,1994,2,1,2.49,0.98,1.57,0.15,5.19
186,FIFA Soccer 13,8,2012,5,34,1.08,3.48,0.03,0.58,5.18
187,The Legend of Zelda: Phantom Hourglass,DS,2007,5,1,1.9,1.83,0.95,0.49,5.17
188,Donkey Kong Country 2: Diddy's Kong Quest,7,1995,2,1,2.1,0.74,2.2,0.11,5.15
189,Tomodachi Life,5,2013,Simulation,1,0.96,2.02,1.89,0.28,5.15
190,Mario & Sonic at the Olympic Games,DS,2008,1,12,1.64,2.48,0.44,0.58,5.14
191,Medal of Honor: Rising Sun,4,2003,23,1.98,2.23,0.13,0.8,5.13
192,Kirby's Dream Land,3,1992,2,1,2.71,0.61,1.7,0.11,5.13
193,Fable III,8,2010,4,28,3.59,1.11,0.05,0.38,5.13
194,Call of Duty: Advanced Warfare,XOne,2014,11,18,3.21,1.53,0.01,0.38,5.13
195,Microsoft Flight Simulator,PC,1996,Simulation,28,3.22,1.69,0,0.2,5.12
196,Guitar Hero II,4,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12
197,Resident Evil 5,6,2009,5,25,1.96,1.43,1.08,0.65,5.11
198,Grand Theft Auto V,XOne,2014,5,26,2.66,2.01,0,0.41,5.08
199,Grand Theft Auto: Vice City Stories,13,2006,5,26,1.7,2.02,0.16,1.21,5.08
200,FIFA Soccer 11,6,2010,1,34,0.6,3.29,0.06,1.13,5.08
201,Super Mario Bros.,3,1999,2,1,3.4,1.3,0.15,0.22,5.07
202,Resident Evil,PS,1996,5,7,2.05,1.16,1.11,0.73,5.05
203,Tony Hawk's Pro Skater,PS,1999,1,18,3.42,1.38,0.02,0.2,5.02
204,Super Smash Bros. for 1 U and 5,1U,2014,Fighting,1,2.59,1.06,0.8,0.57,5.02
205,Warzone 2100,PS,1999,6,Eidos Interactive,2.79,1.89,0,0.33,5.01
206,Spyro the Dragon,PS,1998,2,20,3.36,1.36,0.07,0.21,5
207,Link's Crossbow Training,1,2007,11,1,3.06,1.18,0.29,0.46,5
208,Guitar Hero III: Legends of Rock,4,2007,Misc,18,3.49,0.01,0.01,1.48,4.98
209,Fallout 3,8,2008,4,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Dark2s,DS,2007,4,1,1.85,1.2,1.54,0.37,4.96
211,Uncharted: Drake's Fortune,6,2007,5,20,2.31,1.73,0.12,0.78,4.94
212,Madden NFL 06,4,2005,1,34,3.98,0.26,0.01,0.66,4.91
213,LEGO Star Wars: The Complete Saga,DS,2007,5,27,2.89,1.54,0,0.46,4.9
214,Diddy Kong Racing,N64,1997,Racing,1,2.91,0.99,0.89,0.1,4.88
215,Monster Hunter Freedom 3,13,2010,4,25,0,0,4.87,0,4.87
216,Dr. Mario,2,1990,3,1,2.62,0.6,1.52,0.1,4.85
217,God of War III,6,2010,5,20,2.74,1.36,0.12,0.63,4.84
218,StarCraft II: Wings of Liberty,PC,2010,6,18,2.56,1.68,0,0.59,4.83
219,Assassin's Creed,6,2007,Adventure,35,1.91,2,0.09,0.83,4.83
220,FIFA 15,6,2014,1,34,0.57,3.14,0.04,1.07,4.82
221,Crash Team Racing,PS,1999,Racing,20,2.57,1.57,0.44,0.21,4.79
222,FIFA 17,10,2016,1,34,0.28,3.75,0.06,0.69,4.77
223,Batman: Arkham City,8,2011,5,24,2.99,1.31,0.04,0.41,4.76
224,Driver 2,PS,2000,5,32,2.36,2.1,0.02,0.25,4.73
225,The Simpsons: Hit & Run,4,2003,Racing,Vivendi Games,1.73,2.19,0,0.79,4.7
226,Tony Hawk's Pro Skater 2,PS,2000,1,18,3.05,1.41,0.02,0.2,4.68
227,Animal Crossing: City Folk,1,2008,Simulation,1,1.87,1.12,1.32,0.37,4.68
228,The Lord of the Rings: The Two Towers,4,2002,5,34,1.94,1.95,0.08,0.7,4.67
229,Forza Motorsport 4,8,2011,Racing,28,2.08,2.04,0.06,0.47,4.64
230,Tomb Raider,PS,1996,5,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
231,Guitar Hero III: Legends of Rock,1,2007,Misc,18,3.06,1.12,0,0.44,4.62
232,The Legend of Zelda: A Link to the Past,7,1991,5,1,2.42,0.91,1.15,0.13,4.61
233,The Legend of Zelda: The Wind Waker,GC,2002,5,1,2.6,0.99,0.89,0.13,4.6
234,Mario & Sonic at the Olympic Winter Games,1,2009,1,12,1.89,1.99,0.22,0.48,4.58
235,Luigi's Mansion: Dark Moon,5,2013,5,1,1.78,1.39,1.1,0.3,4.58
236,Splatoon,1U,2015,11,1,1.55,1.15,1.44,0.43,4.57
237,The Last of Us,10,2014,5,20,1.78,1.87,0.07,0.82,4.55
238,Guitar Hero III: Legends of Rock,8,2007,Misc,18,3.19,0.92,0.01,0.42,4.53
239,Madden NFL 2005,4,2004,1,34,4.18,0.26,0.01,0.08,4.53
240,Pitfall!,2600,1981,2,18,4.21,0.24,0,0.05,4.5
241,Madden NFL 07,4,2006,1,34,3.63,0.24,0.01,0.61,4.49
242,Spider-Man: The Movie,4,2002,5,18,2.71,1.51,0.03,0.23,4.48
243,Dragon Quest VII: Warriors of Eden,PS,2000,4,Enix Corporation,0.2,0.14,4.1,0.02,4.47
244,Uncharted: The Nathan Drake Collection,10,2015,5,20,1.96,1.69,0.08,0.74,4.47
245,Call of Duty: Advanced Warfare,6,2014,11,18,1.54,1.94,0.19,0.77,4.45
246,God of War,4,2005,5,20,2.71,1.29,0.02,0.43,4.45
247,1 Land,1U,2012,Misc,1,2.55,1.11,0.46,0.33,4.44
248,Michael Jackson: The Experience,1,2010,Misc,35,2.67,1.35,0.01,0.39,4.42
249,Tony Hawk's Pro Skater 3,4,2001,1,18,2.66,1.29,0.01,0.46,4.41
250,Winning Eleven: Pro Evolution Soccer 2007,4,2006,1,21,0.1,2.39,1.05,0.86,4.39
251,The Elder Scrolls IV: Oblivion,8,2006,4,26,2.82,1.05,0.13,0.4,4.39
252,Zelda II: The Adventure of Link,2,1987,Adventure,1,2.19,0.5,1.61,0.08,4.38
253,Need for Speed: Most Wanted,4,2005,22,2.03,1.79,0.08,0.47,4.37
254,Resistance: Fall of Man,6,2006,11,20,1.73,1.73,0.14,0.75,4.35
255,Sonic the Hedgehog,GEN,1991,2,12,3.03,0.91,0.26,0.13,4.34
256,Kingdom Hearts II,4,2005,4,33,2.2,0.58,1.38,0.17,4.33
257,FIFA 14,8,2013,1,34,0.92,2.93,0.01,0.46,4.31
258,Call of Duty: Advanced Warfare,8,2014,11,18,2.75,1.18,0,0.37,4.31
259,Asteroids,2600,1980,11,32,4,0.26,0,0.05,4.31
260,Fable II,8,2008,4,28,2.51,1.27,0.11,0.41,4.31
261,Halo 5: Guardians,XOne,2015,11,28,2.64,1.2,0.03,0.39,4.26
262,Super Mario 3D World,1U,2013,2,1,2.11,1.11,0.72,0.3,4.25
263,Batman: Arkham Asylum,6,2009,5,Eidos Interactive,2.23,1.34,0.07,0.61,4.25
264,Assassin's Creed: Revelations,6,2011,5,35,1.41,2.02,0.1,0.72,4.24
265,Namco Museum,9,2001,Misc,9,3,1.11,0.05,0.07,4.24
266,Metal Gear Solid 3: Snake Eater,4,2004,5,21,1.46,0,0.83,1.93,4.23
267,Daxter,13,2006,2,20,2.45,1.02,0,0.75,4.22
268,Warcraft II: Tides of Dark2s,PC,1995,6,18,1.7,2.27,0,0.23,4.21
269,The Legend of Zelda: Ocarina of Time,5,2011,5,1,2.03,1.27,0.62,0.3,4.21
270,FIFA Soccer 06,4,2005,1,34,0.78,2.55,0.04,0.84,4.21
271,EyeToy Play,4,2003,Misc,20,0.88,2.3,0.2,0.83,4.2
272,Uncharted 4: A Thief's End,10,2016,11,20,1.3,2.07,0.18,0.65,4.2
273,Gran Turismo 5 Prologue,6,2007,Racing,20,1.28,1.83,0.57,0.53,4.2
274,Assassin's Creed: Revelations,8,2011,5,35,2.25,1.47,0.04,0.43,4.19
275,Street Fighter IV,6,2009,Fighting,25,2.02,1.06,0.58,0.53,4.19
276,FIFA 12,8,2011,1,34,0.84,2.79,0.02,0.53,4.19
277,Teenage Mutant Ninja Turtles,2,1989,5,Palcom,3.38,0.44,0.31,0.04,4.17
278,Excitebike,2,1984,Racing,1,2.04,0.48,1.57,0.07,4.16
279,Frogger,PS,1997,5,Hasbro Interactive,3.79,0.27,0,0.11,4.16
280,Madden NFL 2003,4,2002,1,34,3.36,0.21,0.01,0.56,4.14
281,Watch Dogs,10,2014,5,35,1.4,1.86,0.11,0.77,4.14
282,Half-Life,PC,1997,11,Vivendi Games,4.03,0,0.09,0,4.12
283,Super Mario World 2: Yoshi's Island,7,1995,2,1,1.65,0.61,1.76,0.09,4.12
284,FIFA Soccer 07,4,2006,1,34,0.71,2.48,0.03,0.89,4.11
285,The Legend of Zelda: Skyward Sword,1,2011,5,1,2.14,1.2,0.37,0.4,4.1
286,Street Fighter II Turbo,7,1992,Fighting,25,1.42,0.51,2.1,0.07,4.1
287,Carnival Games,1,2007,Misc,26,2.13,1.5,0.05,0.42,4.1
288,Fallout 4,XOne,2015,4,Bethesda Softworks,2.45,1.26,0.01,0.37,4.09
289,World of Warcraft: The Burning Crusade,PC,2007,4,18,2.57,1.52,0,0,4.09
290,Fallout: New Vegas,8,2010,4,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08
291,God of War II,4,2007,5,20,2.32,0.04,0.04,1.67,4.07
292,Forza Motorsport 2,8,2007,Racing,28,2.35,1.28,0.03,0.41,4.06
293,World Soccer Winning Eleven 9,4,2005,1,21,0.12,2.26,0.9,0.77,4.06
294,Namco Museum Vol.3,PS,1996,Misc,20,2.28,1.55,0.16,0.06,4.05
295,Tekken Tag Tournament,4,2000,Fighting,9,1.68,1.51,0.51,0.35,4.05
296,Far Cry 4,10,2014,11,35,1.12,2.12,0.1,0.69,4.03
297,Star Fox 64,N64,1997,11,1,2.78,0.58,0.64,0.04,4.03
298,Minecraft,10,2014,Misc,17,1.38,1.87,0.12,0.65,4.02
299,Golf,2,1984,1,1,1.22,0.28,2.46,0.04,4.01
300,Fallout 3,6,2008,4,Bethesda Softworks,2.15,1.2,0.07,0.59,4.01
301,Professor Layton and the Diabolical Box,DS,2007,3,1,0.92,1.78,0.92,0.37,4
302,Left 4 Dead 2,8,2009,23,2.67,0.89,0.05,0.37,3.99
303,Namco Museum: 50th Anniversary,4,2005,Misc,9,2.08,1.35,0,0.54,3.98
304,EA 1 Active,1,2009,1,34,2.1,1.36,0.06,0.4,3.92
305,Assassin's Creed: Unity,10,2014,5,35,1.18,1.96,0.08,0.7,3.92
306,Donkey Kong Land,3,1994,2,1,1.97,0.76,1.07,0.11,3.91
307,Tony Hawk's Underground,4,2003,1,18,2.29,1.17,0.01,0.42,3.9
308,Assassin's Creed IV: Black Flag,6,2013,5,35,1.33,1.71,0.13,0.73,3.89
309,Monster Hunter 4 Ultimate,5,2014,4,1,0.67,0.49,2.62,0.11,3.89
310,MotorStorm,6,2006,Racing,20,1.53,1.61,0.06,0.67,3.88
311,The Elder Scrolls V: Skyrim,PC,2011,4,Bethesda Softworks,1.15,2.09,0,0.64,3.88
312,Tekken 5,4,2005,Fighting,9,0.93,1.94,0.31,0.7,3.87
313,Dragon Warrior III,2,1988,4,Enix Corporation,0.1,0,3.77,0,3.87
314,1 Champions,6,2010,1,20,2.12,1.14,0.1,0.51,3.87
315,NBA 2K16,10,2015,1,26,2.48,0.65,0.03,0.69,3.85
316,World Soccer Winning Eleven 8 International,4,2004,1,21,0.16,1.89,1.12,0.68,3.85
